title,gender,country,taxType,taxInvestigationCover,isVatInvoiceRequired,isStatementRequired,businessType,contactType,recurring_fees,non_recurring_fees,number_of_associations,met_face_to_face,visited_business_address,is_uk_resident,is_uk_national,known_to_partner,reputable_referral,plausible_wealth_level,identity_verified,evidence_recorded,client_honest_assessment,wealth_plausible,adverse_records,beneficial_owners_verified,other_identity_concerns,risk_score,risk_label
Ms,Other,Turkey,Individual,no,no,yes,Limited Company,Primary,33791.12,17936.35,9,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,71.96,High
Mrs,Male,United States,Company,yes,yes,no,LLP,Secondary,36154.57,8345.92,6,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,73.66,High
Dr,Prefer not to say,France,Individual,no,yes,no,Partnership,Both,37201.79,14391.23,6,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,100.0,High
Prof,Prefer not to say,France,Trust,yes,no,yes,Limited Company,Primary,31023.31,8089.73,7,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,100.0,High
Ms,Prefer not to say,United Kingdom,Partnership,no,yes,yes,Charity,Primary,40465.19,3117.5,8,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,79.3,High
Dr,Other,Germany,Individual,no,yes,no,Limited Company,Both,10183.02,15088.27,7,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,100.0,High
Dr,Male,United Kingdom,Individual,no,no,no,Sole Trader,Both,10293.73,12406.79,7,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,100.0,High
Mrs,Other,France,Individual,no,no,yes,LLP,Secondary,13647.83,19813.2,10,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,no,91.58,High
Mrs,Male,United Kingdom,Company,no,yes,no,Charity,Both,25464.25,11785.96,6,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,59.96,Medium
Prof,Female,Nigeria,Partnership,yes,yes,yes,Limited Company,Secondary,5532.9,2288.03,1,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,yes,99.52,High
Prof,Female,North Korea,Company,yes,no,no,Partnership,Primary,33897.76,15273.55,4,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,100.0,High
Mrs,Female,North Korea,Company,no,no,yes,LLP,Both,24380.79,10473.98,0,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,100.0,High
Ms,Other,Iran,Trust,yes,yes,yes,Charity,Primary,17027.37,8595.7,9,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,100.0,High
Mr,Prefer not to say,United Kingdom,Company,no,yes,no,Limited Company,Secondary,39932.11,17956.61,2,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,46.13,Medium
Mrs,Other,United Kingdom,Company,yes,no,no,Charity,Primary,41607.45,744.52,9,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,yes,97.54,High
Mrs,Other,United Kingdom,Company,yes,yes,no,Charity,Both,34354.57,14289.37,6,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,69.22,Medium
Dr,Other,Iran,Partnership,yes,no,no,Partnership,Secondary,41801.49,12269.13,3,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,100.0,High
Mrs,Other,Iran,Individual,yes,yes,no,Charity,Both,18100.08,13307.18,4,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,81.21,High
Mrs,Other,United Kingdom,Company,yes,yes,yes,Limited Company,Primary,29478.67,12224.56,1,no,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,66.89,Medium
Dr,Prefer not to say,United Kingdom,Partnership,yes,yes,no,Sole Trader,Both,22953.51,2680.45,6,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,33.76,Low
Mr,Female,United Kingdom,Partnership,no,no,yes,Charity,Primary,32507.07,16496.18,10,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,68.86,Medium
Prof,Prefer not to say,United Kingdom,Individual,no,no,yes,Sole Trader,Secondary,36487.95,1758.24,4,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,55.59,Medium
Mr,Other,Nigeria,Trust,yes,no,no,Charity,Both,8255.67,4903.51,7,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,100.0,High
Mr,Other,United Kingdom,Trust,yes,yes,no,LLP,Both,40589.8,4386.2,4,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,97.59,High
Dr,Prefer not to say,Russia,Partnership,no,yes,yes,Sole Trader,Both,19309.09,4560.14,10,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,yes,100.0,High
Ms,Male,China,Individual,yes,yes,no,Limited Company,Both,29226.49,22283.49,6,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,100.0,High
Dr,Female,United Kingdom,Company,no,yes,yes,Charity,Secondary,5974.62,6925.57,0,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,57.19,Medium
Mr,Female,United States,Trust,yes,no,yes,Partnership,Primary,15690.37,3183.44,10,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,100.0,High
Prof,Female,North Korea,Partnership,yes,no,no,Limited Company,Both,35763.86,17968.41,10,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,100.0,High
Mr,Female,United Kingdom,Individual,no,yes,no,Limited Company,Primary,41733.72,3982.62,3,no,no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,yes,100.0,High
Mrs,Prefer not to say,Russia,Individual,yes,no,no,LLP,Both,36635.22,7381.28,4,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,72.63,High
Dr,Male,Germany,Trust,no,yes,yes,Sole Trader,Both,14797.47,7325.89,0,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,yes,74.24,High
Mr,Female,India,Company,yes,no,no,Charity,Primary,5774.08,21870.42,9,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,71.95,High
Mr,Prefer not to say,Germany,Company,no,yes,yes,LLP,Secondary,17411.21,10468.8,6,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,97.75,High
Mr,Prefer not to say,United States,Trust,no,no,no,Sole Trader,Secondary,23362.55,20286.29,5,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,92.66,High
Dr,Male,China,Partnership,yes,yes,yes,LLP,Secondary,1305.78,16252.11,3,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,68.96,Medium
Mrs,Prefer not to say,Germany,Company,yes,yes,yes,Charity,Both,3261.56,15221.22,5,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,84.54,High
Dr,Other,India,Trust,no,no,yes,Limited Company,Secondary,25969.34,16114.47,10,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,69.97,Medium
Dr,Prefer not to say,United Kingdom,Company,yes,yes,yes,Sole Trader,Secondary,43378.46,12799.98,10,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,100.0,High
Mr,Other,China,Individual,yes,no,yes,Partnership,Primary,38908.67,21097.4,10,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,100.0,High
Dr,Other,United Kingdom,Company,yes,yes,yes,Partnership,Both,36434.96,21089.54,9,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,100.0,High
Dr,Prefer not to say,United Kingdom,Trust,yes,yes,yes,Charity,Primary,41051.16,10517.38,6,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,71.5,High
Dr,Prefer not to say,North Korea,Company,yes,no,yes,Sole Trader,Secondary,9775.66,3807.14,1,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,100.0,High
Mr,Prefer not to say,United Kingdom,Trust,yes,no,no,Sole Trader,Primary,10653.26,24684.52,10,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,100.0,High
Ms,Male,United Kingdom,Individual,no,no,yes,Partnership,Primary,38283.0,8732.67,5,no,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,100.0,High
Mr,Female,United Kingdom,Trust,no,yes,yes,LLP,Secondary,49297.42,8366.79,5,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,81.93,High
Mr,Male,Pakistan,Company,yes,no,no,Limited Company,Secondary,12082.68,22881.07,0,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,100.0,High
Mr,Male,United Kingdom,Individual,no,no,no,LLP,Secondary,4747.88,19124.13,0,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,70.05,High
Ms,Female,United States,Trust,no,no,no,Limited Company,Primary,16193.39,7261.18,1,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,60.52,Medium
Mrs,Female,United Kingdom,Individual,yes,yes,yes,LLP,Secondary,31823.48,17816.38,3,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,100.0,High
Mr,Male,Nigeria,Individual,yes,yes,yes,LLP,Secondary,22354.66,2993.61,9,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,yes,100.0,High
Mrs,Male,United Kingdom,Individual,yes,no,no,Limited Company,Primary,18516.75,20514.28,3,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,100.0,High
Mrs,Other,United Kingdom,Individual,no,no,no,Sole Trader,Primary,43881.33,12651.55,2,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,100.0,High
Mrs,Prefer not to say,United Kingdom,Partnership,no,no,no,Charity,Secondary,3563.62,20137.4,10,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,94.06,High
Mr,Prefer not to say,United Kingdom,Individual,no,no,yes,Sole Trader,Primary,47696.34,11481.1,3,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,78.77,High
Dr,Other,United Kingdom,Company,yes,no,no,Partnership,Secondary,30939.05,22549.87,2,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,72.37,High
Ms,Male,China,Individual,yes,yes,yes,Charity,Primary,19818.07,7708.37,10,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,100.0,High
Dr,Other,Germany,Trust,no,yes,no,Limited Company,Both,41243.8,11141.78,5,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,97.58,High
Mr,Female,United States,Company,no,no,yes,Charity,Primary,21079.25,8321.79,1,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,33.16,Low
Mr,Female,France,Company,no,yes,no,Limited Company,Secondary,16952.39,11279.7,10,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,100.0,High
Dr,Prefer not to say,France,Individual,no,no,yes,Partnership,Secondary,41357.33,7608.06,2,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,66.41,Medium
Mr,Male,Germany,Partnership,no,yes,no,Limited Company,Primary,48412.33,24175.95,0,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,80.96,High
Ms,Male,Nigeria,Trust,no,no,no,Charity,Secondary,49238.99,17834.39,9,no,no,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,100.0,High
Dr,Female,Brazil,Company,no,yes,yes,Charity,Primary,38658.06,13932.67,1,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,88.11,High
Dr,Other,United Kingdom,Trust,yes,yes,yes,Partnership,Secondary,1060.22,22318.71,1,yes,no,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,85.02,High
Dr,Female,United States,Individual,yes,no,yes,Charity,Primary,34113.3,12076.76,4,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,100.0,High
Prof,Prefer not to say,Germany,Trust,no,no,yes,Sole Trader,Secondary,15746.9,5990.6,4,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,100.0,High
Mr,Male,Nigeria,Trust,no,no,no,Partnership,Primary,47664.41,1071.07,6,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,100.0,High
Mr,Female,China,Partnership,no,no,no,Limited Company,Both,4684.87,21681.82,9,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,no,100.0,High
Prof,Male,United States,Partnership,no,no,yes,Sole Trader,Both,28498.18,22450.13,6,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,90.21,High
Mrs,Female,United Kingdom,Partnership,yes,no,no,Limited Company,Primary,24716.36,6603.29,9,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,59.39,Medium
Ms,Male,United States,Partnership,no,yes,yes,Sole Trader,Both,37213.29,5881.54,5,no,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,73.74,High
Dr,Female,India,Trust,no,no,no,LLP,Both,10410.92,8913.83,5,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,95.42,High
Mrs,Prefer not to say,France,Company,yes,no,yes,Partnership,Both,30722.17,1093.63,8,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,75.27,High
Mrs,Male,China,Partnership,yes,no,no,LLP,Both,26266.47,13614.44,9,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,yes,100.0,High
Ms,Prefer not to say,United Kingdom,Partnership,yes,no,no,Partnership,Secondary,49930.49,7309.96,0,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,100.0,High
Dr,Female,United Kingdom,Company,no,yes,no,Charity,Secondary,7509.58,15655.88,4,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,yes,70.85,High
Dr,Male,Germany,Partnership,yes,yes,no,Partnership,Primary,15405.93,21004.59,6,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,87.95,High
Dr,Male,United States,Company,yes,no,yes,Charity,Both,48263.45,10368.02,7,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,65.95,Medium
Ms,Prefer not to say,France,Trust,no,no,no,LLP,Secondary,44058.4,16858.16,7,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,93.27,High
Mr,Female,France,Company,yes,no,yes,Limited Company,Primary,10240.79,15978.16,8,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,68.97,Medium
Mr,Prefer not to say,Brazil,Company,no,no,yes,Limited Company,Secondary,41665.98,3103.13,2,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,83.3,High
Dr,Other,United States,Individual,no,yes,no,Partnership,Secondary,4417.23,5588.57,7,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,no,77.01,High
Mr,Other,United Kingdom,Company,yes,yes,no,Limited Company,Primary,3303.39,17713.88,6,no,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,90.29,High
Ms,Other,United Kingdom,Partnership,no,no,no,Partnership,Primary,36283.33,8296.75,7,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,74.48,High
Dr,Female,United Kingdom,Partnership,no,no,yes,LLP,Both,42617.71,3248.75,7,no,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,100.0,High
Prof,Female,United Kingdom,Individual,yes,no,no,Sole Trader,Primary,42672.3,12794.31,0,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,45.83,Medium
Dr,Prefer not to say,United Kingdom,Partnership,no,yes,yes,Charity,Both,49549.29,9037.11,7,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,72.27,High
Dr,Male,North Korea,Company,no,yes,no,Charity,Both,39197.52,18368.73,10,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,100.0,High
Dr,Other,United Kingdom,Partnership,no,no,no,LLP,Primary,33962.97,7023.84,2,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,68.51,Medium
Mrs,Female,United Kingdom,Individual,no,yes,yes,Charity,Primary,24736.4,20905.29,8,yes,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,80.01,High
Ms,Male,United Kingdom,Partnership,yes,no,yes,Limited Company,Primary,34535.38,1766.55,2,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,93.11,High
Mr,Male,United Kingdom,Partnership,no,yes,yes,Charity,Both,45260.7,8443.94,10,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,100.0,High
Dr,Other,United Kingdom,Individual,yes,no,no,Limited Company,Secondary,12311.9,1186.76,10,yes,no,yes,yes,no,yes,no,yes,no,yes,no,no,yes,yes,82.41,High
Prof,Prefer not to say,Brazil,Company,yes,no,no,Partnership,Primary,40038.62,18026.48,9,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,81.9,High
Mr,Female,United States,Company,no,no,no,Charity,Primary,29414.11,10339.58,0,no,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,100.0,High
Ms,Male,France,Individual,yes,no,no,LLP,Both,15331.38,23356.12,2,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,56.3,Medium
Ms,Male,United Kingdom,Trust,no,yes,no,Limited Company,Secondary,27751.89,18042.23,5,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,100.0,High
Ms,Female,Turkey,Individual,yes,no,yes,Sole Trader,Both,39308.57,22479.5,0,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,83.75,High
Prof,Female,United States,Company,no,no,no,LLP,Secondary,48943.53,17564.5,6,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,100.0,High
Mr,Male,Nigeria,Company,yes,yes,yes,Limited Company,Both,41900.26,11454.36,10,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,100.0,High
Prof,Prefer not to say,Russia,Trust,no,no,no,Partnership,Both,10230.9,23203.27,6,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,100.0,High
Prof,Male,Germany,Company,no,no,yes,LLP,Primary,40981.97,6466.91,1,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,93.26,High
Prof,Male,United Kingdom,Partnership,no,no,no,Charity,Primary,43355.28,23961.72,1,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,76.5,High
Ms,Male,United Kingdom,Trust,yes,no,yes,Partnership,Both,35670.41,1672.25,9,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,48.49,Medium
Prof,Male,France,Individual,yes,yes,no,LLP,Primary,22876.14,3745.94,1,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,76.44,High
Ms,Other,United Kingdom,Partnership,yes,no,yes,Partnership,Both,15360.75,21752.12,1,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,100.0,High
Prof,Other,United Kingdom,Company,no,yes,no,LLP,Secondary,22723.91,21781.09,10,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,84.55,High
Dr,Other,Germany,Partnership,yes,no,yes,Sole Trader,Primary,8115.42,24293.95,3,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,72.28,High
Mr,Male,India,Trust,yes,yes,yes,Sole Trader,Primary,5085.38,21466.93,5,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,96.26,High
Dr,Prefer not to say,United Kingdom,Partnership,yes,no,no,Partnership,Primary,27555.01,6503.24,6,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,68.93,Medium
Mr,Female,United Kingdom,Partnership,yes,no,yes,Partnership,Both,41874.77,13254.5,6,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,yes,100.0,High
Mrs,Other,United Kingdom,Partnership,no,yes,yes,Limited Company,Primary,29670.07,15343.38,5,no,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,yes,89.85,High
Dr,Other,France,Individual,no,no,yes,Charity,Primary,37812.54,3166.72,6,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,100.0,High
Dr,Prefer not to say,United Kingdom,Trust,no,no,no,LLP,Secondary,28095.35,9194.09,0,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,yes,yes,92.46,High
Prof,Female,United States,Individual,yes,yes,no,Charity,Secondary,13000.85,23404.2,1,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,no,56.2,Medium
Dr,Prefer not to say,Nigeria,Partnership,no,no,yes,LLP,Secondary,28326.42,18314.4,5,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,100.0,High
Dr,Other,United Kingdom,Company,no,no,yes,Sole Trader,Primary,43666.18,16470.39,0,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,66.97,Medium
Prof,Prefer not to say,United Kingdom,Individual,no,yes,yes,Limited Company,Secondary,5433.53,4128.96,9,yes,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,51.23,Medium
Mrs,Female,United Kingdom,Partnership,yes,yes,no,LLP,Primary,24726.97,21558.42,7,no,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,71.15,High
Dr,Female,Russia,Trust,no,no,yes,Charity,Secondary,31362.42,796.58,8,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,95.29,High
Mr,Male,United Kingdom,Trust,yes,no,no,LLP,Both,34107.01,24857.0,1,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,80.03,High
Ms,Female,United Kingdom,Company,yes,no,yes,LLP,Secondary,34295.14,17310.63,7,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,46.47,Medium
Ms,Prefer not to say,United Kingdom,Company,no,yes,no,LLP,Primary,33989.21,24495.77,4,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,79.91,High
Mr,Prefer not to say,France,Company,yes,no,no,LLP,Secondary,29676.58,22146.68,5,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,57.11,Medium
Prof,Prefer not to say,United Kingdom,Trust,no,no,yes,Sole Trader,Both,17112.85,18848.16,7,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,100.0,High
Mr,Male,Pakistan,Trust,yes,yes,no,Sole Trader,Primary,29665.78,9000.68,8,yes,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,61.64,Medium
Prof,Male,United States,Partnership,no,yes,no,Partnership,Both,9798.11,24845.48,8,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,100.0,High
Ms,Other,Nigeria,Trust,yes,yes,no,Partnership,Primary,15175.1,16204.67,2,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,81.62,High
Mr,Other,France,Individual,no,yes,yes,Sole Trader,Primary,39449.63,5352.32,9,yes,no,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,70.19,High
Dr,Prefer not to say,United States,Trust,no,no,yes,Limited Company,Both,40194.62,23130.97,10,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,64.95,Medium
Prof,Male,United Kingdom,Partnership,no,yes,no,Charity,Secondary,11738.06,15252.8,0,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,92.23,High
Mr,Other,Germany,Individual,no,yes,no,Partnership,Primary,6965.63,14654.46,8,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,92.71,High
Mr,Male,United Kingdom,Partnership,yes,yes,yes,LLP,Primary,21623.58,18769.21,6,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,67.73,Medium
Prof,Other,United Kingdom,Trust,yes,no,no,LLP,Both,8412.84,1492.32,8,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,69.66,Medium
Mr,Female,Germany,Partnership,no,no,yes,Charity,Both,25966.63,12438.15,8,no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,100.0,High
Prof,Prefer not to say,Iran,Partnership,yes,no,no,Limited Company,Secondary,4922.84,16943.08,7,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,100.0,High
Dr,Male,United States,Partnership,yes,no,no,Limited Company,Secondary,1093.19,15135.1,6,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,no,82.92,High
Dr,Prefer not to say,United Kingdom,Partnership,yes,no,yes,LLP,Both,46194.61,4507.33,4,yes,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,100.0,High
Prof,Female,United Kingdom,Company,no,no,yes,Partnership,Secondary,28245.45,7375.06,2,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,yes,100.0,High
Prof,Female,United Kingdom,Company,yes,no,yes,Charity,Primary,10003.15,17224.25,3,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,44.28,Medium
Mrs,Male,United States,Company,yes,yes,yes,Charity,Both,24739.06,8388.64,2,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,95.67,High
Prof,Female,United Kingdom,Company,no,no,no,Sole Trader,Secondary,37009.61,2484.95,2,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,no,48.68,Medium
Dr,Prefer not to say,France,Partnership,yes,yes,no,Sole Trader,Primary,35915.26,24983.26,9,no,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,87.59,High
Dr,Other,France,Company,no,no,yes,Partnership,Secondary,21126.45,13144.26,8,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,83.72,High
Mrs,Female,United Kingdom,Individual,no,yes,no,Charity,Secondary,6610.13,12419.77,0,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,100.0,High
Dr,Prefer not to say,United Kingdom,Individual,yes,no,no,LLP,Primary,45299.62,15717.48,3,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,100.0,High
Prof,Prefer not to say,United Kingdom,Individual,yes,no,yes,Partnership,Primary,33279.82,16538.19,2,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,67.22,Medium
Ms,Prefer not to say,United Kingdom,Individual,no,no,no,Charity,Both,49016.37,14644.33,10,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,53.7,Medium
Mr,Other,United States,Partnership,no,no,yes,Charity,Secondary,45920.45,9838.4,6,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,81.66,High
Mr,Male,Germany,Partnership,yes,yes,yes,Sole Trader,Both,10809.24,8680.77,5,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,41.15,Medium
Dr,Female,United States,Individual,no,no,no,Partnership,Primary,47582.46,23175.07,9,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,100.0,High
Ms,Other,United States,Partnership,no,yes,yes,Partnership,Both,12421.73,24555.25,10,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,100.0,High
Prof,Other,United Kingdom,Company,no,yes,no,Partnership,Secondary,6043.35,11311.16,2,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,100.0,High
Mrs,Female,Germany,Individual,yes,no,no,Limited Company,Both,18945.42,16431.05,2,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,68.93,Medium
Mrs,Female,Iran,Trust,no,yes,yes,LLP,Both,14094.91,4734.28,3,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,no,yes,96.41,High
Mr,Male,China,Partnership,no,yes,yes,Sole Trader,Primary,46068.47,6310.25,10,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,79.49,High
